                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.62002,                 1.0176,                0.79183,                  1.041,                 0.7829,                0.79614,                 0.8308,                0.64744,                0.77101,                0.78417,                0.81637,                0.64048,                0.92884,                 1.5438,                 1.1676,                  1.368,              0.0005644,              0.0005644,              0.0005644
                     46,                0.62843,                 1.0443,                0.79348,                 1.0539,                0.79712,                0.76642,                0.82694,                0.62916,                0.77094,                0.74584,                0.80215,                0.64652,                0.92525,                 1.4804,                 1.1375,                 1.4012,              0.0005545,              0.0005545,              0.0005545
                     47,                0.61953,                0.99957,                0.74972,                 1.0333,                0.78758,                0.78303,                0.81212,                 0.6535,                 0.7849,                0.77579,                0.80337,                0.65846,                0.90522,                 1.5811,                 1.1342,                 1.3548,              0.0005446,              0.0005446,              0.0005446
                     48,                 0.6053,                 1.0233,                0.75913,                 1.0348,                0.79014,                0.83258,                0.85592,                0.64828,                0.78249,                0.82563,                0.83244,                0.66807,                0.88847,                 1.3428,                  1.071,                 1.3376,              0.0005347,              0.0005347,              0.0005347
                     49,                0.59308,                0.92369,                0.72774,                 1.0275,                 0.7814,                0.73486,                0.82073,                0.63344,                0.77281,                0.72605,                0.80613,                0.64892,                0.91332,                 1.4059,                 1.2186,                 1.3603,              0.0005248,              0.0005248,              0.0005248
                     50,                0.59366,                0.99898,                0.71713,                 1.0194,                 0.8654,                0.72411,                0.83008,                0.62123,                0.83711,                0.69886,                 0.7976,                 0.6476,                0.90783,                 1.4486,                 1.1075,                 1.3869,              0.0005149,              0.0005149,              0.0005149
                     51,                0.56938,                0.91922,                0.70477,                 1.0116,                0.78526,                0.77599,                0.81027,                0.63238,                0.77926,                0.76861,                0.79904,                0.64746,                0.90831,                 1.5183,                 1.1297,                 1.3458,               0.000505,               0.000505,               0.000505
                     52,                0.57541,                0.90949,                0.70683,                 1.0205,                0.87224,                0.79419,                 0.8441,                0.67513,                0.87205,                0.78817,                0.83544,                0.66831,                0.88095,                 1.4386,                 1.0466,                 1.3595,              0.0004951,              0.0004951,              0.0004951
                     53,                0.58692,                0.97734,                0.71989,                 1.0292,                0.83784,                0.79535,                0.85323,                 0.6585,                0.87294,                0.76541,                0.84501,                0.67307,                0.90898,                 1.4368,                 1.0907,                 1.3853,              0.0004852,              0.0004852,              0.0004852
                     54,                0.59837,                 0.9898,                0.70847,                 1.0226,                0.82262,                0.75539,                0.82989,                0.65007,                0.82331,                 0.7425,                  0.811,                0.67031,                0.88256,                 1.5434,                 1.1044,                 1.3734,              0.0004753,              0.0004753,              0.0004753
                     55,                0.55241,                0.88626,                0.66731,                 1.0039,                0.81081,                0.74148,                0.82634,                0.66068,                0.81673,                0.73426,                0.80854,                0.67719,                0.86784,                 1.4292,                 1.1463,                  1.306,              0.0004654,              0.0004654,              0.0004654
