(활)전복,완도,24미,kg,33.5,"29,000","29,000","29,000",2012-04-03,,,
(활)전복,완도,8/9미,kg,11.3,"63,000","63,000","63,000",2012-04-03,,,
(선)쭈꾸미,중국,대,box,525,"45,000","39,000","43,600",2012-04-03,,,
(선)참가자미,보령,10미,S/P,100,"15,000","15,000","15,000",2012-04-03,,,
(냉건)코다리명태,러시아,4X14,CT/(BT),10,"34,000","34,000","34,000",2012-04-03,,,
(선)해남,임원,중,S/P,13,"15,000","10,000","11,200",2012-04-03,,,
(선)깐굴,삼천포,소,box,333,"18,000","9,000","13,600",2012-04-03,,,
(선)낙지,중국,14미,box,20,"42,000","42,000","42,000",2012-04-03,,,
(선)대게,속초,중,미(마리),102,"1,800","1,800","1,800",2012-04-03,,,
(선)민대구,제주도,20미,S/P,9,"60,000","60,000","60,000",2012-04-03,,,
(선)백조기,삼천포,10미,S/P,35,"7,000","7,000","7,000",2012-04-03,,,
(선)병어,부산(기장),대,S/P,1,"150,000","150,000","150,000",2012-04-03,,,
(냉)부세,중국,500/600,CT/(BT),100,"30,000","30,000","30,000",2012-04-03,,,
(선)분홍새우,속초,중,S/P,34,"5,000","5,000","5,000",2012-04-03,,,
(냉)삼치,부산(기장),24미,CT/(BT),50,"50,000","50,000","50,000",2012-04-03,,,
(활)새꼬막,순천,소,포,793,"22,000","8,000","14,500",2012-04-03,,,
(냉)수꽃게,안흥,6단,CT/(BT),56,"30,000","30,000","30,000",2012-04-03,,,
(선)은갈치,제주도,7미,S/P,14,"180,000","155,000","168,300",2012-04-03,,,
(활)잡어,격포,중,kg,47,"7,000","1,200","1,600",2012-04-03,,,
(활)전복,완도,18미,kg,212.9,"26,000","25,000","25,800",2012-04-03,,,
(활)쭈꾸미,중국,중,가구,39,"64,000","64,000","64,000",2012-04-03,,,
(선)쭈꾸미,장항,7코,box,1,"11,000","11,000","11,000",2012-04-03,,,
(활)참돔,완도,중,kg,52.7,"40,000","18,000","26,500",2012-04-03,,,
(활)칼바지락,기타(국내),대,box,100,"6,000","5,700","5,900",2012-04-03,,,
(활)토바지락,기타(국내),대,box,121,"5,500","5,500","5,500",2012-04-03,,,
(선)가자미,방어진,52미,S/P,2,"70,000","70,000","70,000",2012-04-03,,,
(활)감숭어,거제도,중,kg,554,"7,000","1,500","5,200",2012-04-03,,,
