(선)민어,태안,중,kg,5.2,"13,000",500,"7,700",2023-05-17
(선)볼락,나로도,7미,S/P,1,"22,000","22,000","22,000",2023-05-17
(활)소라,군산,중,그물망,55,"65,000","40,000","50,000",2023-05-17
(선)아귀,남해,6미,S/P,1,"4,000","4,000","4,000",2023-05-17
(선)아귀,나로도,2미,S/P,1,"28,000","28,000","28,000",2023-05-17
(활)암꽃게,태안,소,kg,156,"27,000","14,000","18,200",2023-05-17
(활)암꽃게,격포,소소,kg,44,"22,000","16,000","19,100",2023-05-17
(선)암꽃게,군산,중,S/P,1,"170,000","170,000","170,000",2023-05-17
(활)왕게,노르웨이,중,kg,29.3,"18,000","5,500","12,600",2023-05-17
(선)은갈치,제주도,7미,S/P,37,"155,000","120,000","143,900",2023-05-17
(선)잡어,남해,대,S/P,3,"3,000","3,000","3,000",2023-05-17
(활)피꼬막(피조개),군산,중,그물망,1,"16,600","16,600","16,600",2023-05-17
(활)가무락,인천,대,그물망,5,"171,100","150,000","165,800",2023-05-17
(활)가무락,인천,소,그물망,1,"45,000","45,000","45,000",2023-05-17
(선)가자미,임원,대,S/P,1,"70,000","70,000","70,000",2023-05-17
(선)꼴뚜기,여수,10봉,box,70,"8,500","7,300","8,100",2023-05-17
(선)낙지,중국,17미,box,48,"17,000","13,100","15,300",2023-05-17
(선)만디,마산,소,box,137,"19,000","11,300","15,200",2023-05-17
(선)문어,속초,대,S/P,16.6,"19,000","19,000","19,000",2023-05-17
(선)백조기,나로도,6미,S/P,2,"20,000","20,000","20,000",2023-05-17
(선)볼락,나로도,6미,S/P,1,"22,000","22,000","22,000",2023-05-17
(활)암꽃게,태안,중,kg,139,"38,000","17,000","31,000",2023-05-17
(선)옥돔,통영,중,S/P,1,"4,000","4,000","4,000",2023-05-17
(선)왕게,러시아,중,kg,61,"17,000","1,000","5,800",2023-05-17
(선)잡어,완도,대,S/P,12.4,"1,000",100,500,2023-05-17
(활)전복,완도,30미,kg,23.8,"8,000","8,000","8,000",2023-05-17
(활)전복,완도,3/4미,kg,4.9,"125,000","125,000","125,000",2023-05-17
(활)점성어,중국,중,kg,447.5,"12,000","3,000","9,400",2023-05-17
(선)쭈꾸미,중국,23미,box,52,"22,300","22,000","22,200",2023-05-17
(선)쭈꾸미,중국,44미,box,31,"17,300","15,200","16,400",2023-05-17
(활)참돔,군산,중,kg,32.5,"19,000","12,000","15,900",2023-05-17
(선)황돔(뱅꼬),부산(기장),대,S/P,1,"11,000","11,000","11,000",2023-05-17
(활)가무락,강화,대,그물망,1,"180,300","180,300","180,300",2023-05-17
(선)갑오징어,보령,10미,c/s(상자),53,"83,000","81,000","82,400",2023-05-17
(선)금태,부산(기장),42미,S/P,1,"210,000","210,000","210,000",2023-05-17
(선)낙지,중국,15미,box,256,"16,500","15,600","16,000",2023-05-17
(선)낙지,중국,8미,box,21,"13,000","13,000","13,000",2023-05-17
(선)대구,속초,2미,S/P,2,"25,000","25,000","25,000",2023-05-17
(선)도다리,태안,중,kg,3.5,"1,000","1,000","1,000",2023-05-17
(활)멍게,통영,중,box,32,"17,100","15,700","16,800",2023-05-17
(활)물바지락,순천,대,box,8,"58,100","58,000","58,000",2023-05-17
(선)민어,중국,중,kg,2.2,500,500,500,2023-05-17
(선)백조기,남해,6미,S/P,4,"8,000","8,000","8,000",2023-05-17
(선)병어,방어진,대,S/P,1,"15,000","15,000","15,000",2023-05-17
(활)암꽃게,격포,소,kg,189,"30,000","13,000","25,300",2023-05-17
(활)암꽃게,보령,중,kg,90,"34,000","33,000","33,400",2023-05-17
(선)잡어,진도,중,kg,253.9,"7,000",500,"2,700",2023-05-17
(선)잡어,속초,대,S/P,6.6,"5,000","5,000","5,000",2023-05-17
(활)전복,완도,14미,kg,36,"20,000","19,000","19,300",2023-05-17
(활)전복,완도,12/13미,kg,113.1,"21,000","20,000","20,200",2023-05-17
(활)전복,완도,6/7미,kg,2.6,"54,000","54,000","54,000",2023-05-17
(선)참돔,나로도,4미,S/P,2,"24,000","24,000","24,000",2023-05-17
(선)갑오징어,안흥,중,kg,64,"9,000","1,000","4,300",2023-05-17
(활)개조개,통영,16미,box,1,"73,000","73,000","73,000",2023-05-17
(선)금태,부산(기장),48미,S/P,1,"150,000","150,000","150,000",2023-05-17
(선)낙지,중국,11미,box,181,"19,500","13,000","16,600",2023-05-17
(냉)낙지,중국,4미,CT/(BT),30,"42,900","42,900","42,900",2023-05-17
(선)넙치,완도,중,kg,17.1,"4,000","4,000","4,000",2023-05-17
(활)도다리,화성,중,kg,128.6,"17,000","5,500","13,300",2023-05-17
(활)물바지락,삼천포,중,box,1,"28,000","28,000","28,000",2023-05-17
(선)부시리,강구,대,S/P,18,"3,000","3,000","3,000",2023-05-17
(활)소라,군산,대,box,30,"63,000","60,100","61,700",2023-05-17
(활)수꽃게,진도,중,kg,80,"14,000","14,000","14,000",2023-05-17
(선)아귀,남해,5미,S/P,5,"4,000","4,000","4,000",2023-05-17
(활)암꽃게,보령,대,kg,10,"37,500","37,500","37,500",2023-05-17
(선)연자돔,제주도,대,S/P,1,"79,200","79,200","79,200",2023-05-17
(선)잡어,안흥,중,kg,172.8,"100,000",500,"10,400",2023-05-17
(활)전복,완도,13/14미,kg,111.5,"19,000","13,000","16,000",2023-05-17
(활)진주담치,마산,중,그물망,45,"6,000","4,100","4,800",2023-05-17
(활)진주담치,여수,중,그물망,159,"12,700","3,000","6,100",2023-05-17
(냉)참조기,기타(국내),180미,CT/(BT),10,"134,200","134,200","134,200",2023-05-17
(활)피꼬막(피조개),장항,중,그물망,2,"27,500","25,000","26,300",2023-05-17
(선)갑오징어,부산(기장),대,S/P,5,"30,000","30,000","30,000",2023-05-17
(선)깐바지락,통영,소,box,5,"14,200","14,200","14,200",2023-05-17
(선)낙지,중국,7미,box,125,"18,200","16,000","16,500",2023-05-17
(선)낙지,중국,16미,box,119,"16,600","15,500","15,800",2023-05-17
(활)넙치,안흥,중,kg,154.1,"14,000","3,000","5,300",2023-05-17
(활)넙치,대부도,소,kg,22.1,500,500,500,2023-05-17
(선)넙치,대천,중,kg,50.7,200,200,200,2023-05-17
(활)농어,중국,중,kg,445.7,"19,000","7,000","13,500",2023-05-17
(활)대게,러시아,중,kg,818.7,"27,000","6,000","22,700",2023-05-17
(선)도다리,군산,대,S/P,210.2,"1,000",600,900,2023-05-17
(선)바다가재,캐나다,중,kg,27.1,"35,500","2,000","18,800",2023-05-17
(활)수꽃게,진도,소,kg,130,"12,000","9,500","11,000",2023-05-17
(활)수꽃게,태안,소,kg,22,"15,000","15,000","15,000",2023-05-17
(선)수꽃게,진도,중,S/P,13,"80,000","70,000","75,800",2023-05-17
(선)아귀,남해,8미,S/P,3,"3,000","3,000","3,000",2023-05-17
(선)옥돔,제주도,대,S/P,2,"164,000","164,000","164,000",2023-05-17
(선)은갈치,제주도,진통,S/P,3,"35,000","35,000","35,000",2023-05-17
(선)은갈치,제주도,3미,S/P,18,"180,000","100,000","122,200",2023-05-17
(활)전복,완도,24/25미,kg,56.1,"14,500","13,500","13,900",2023-05-17
(활)전복,완도,15/16미,kg,227.8,"19,000","15,000","17,200",2023-05-17
(선)넙치,인천,중,kg,81.1,"50,000","1,500","4,200",2023-05-17
(선)도다리,군산,중,kg,13.1,100,100,100,2023-05-17
(활)돔,군산,중,kg,45.6,"11,000","8,000","10,100",2023-05-17
(활)말백합,태안,중,그물망,12,"128,000","125,300","126,900",2023-05-17
(활)민어,서천,중,kg,57.9,"25,000","10,000","14,800",2023-05-17
(선)방어,강구,3미,S/P,1,"12,000","12,000","12,000",2023-05-17
(선)백조기,나로도,30미,S/P,1,"10,000","10,000","10,000",2023-05-17
(활)병어돔,중국,중,kg,37,"16,000","8,000","14,000",2023-05-17
