(선)넙치,완도,중,kg,19.2,"4,000","4,000","4,000",2024-04-03
(활)대게,러시아,중,kg,"3,089.3","58,000","1,000","38,400",2024-04-03
(활)동죽,태안,대,box,2,"45,500","43,600","44,600",2024-04-03
(선)삼치,제주도,대,S/P,5,"105,000","95,000","99,000",2024-04-03
(활)소라,군산,대,box,23,"98,500","60,000","76,700",2024-04-03
(활)우럭,완도,중,kg,10.4,"17,000","13,000","15,600",2024-04-03
(선)잡어,안흥,중,kg,27.5,"6,000","1,000","4,300",2024-04-03
(활)전복,완도,13/14미,kg,157.8,"20,000","17,500","18,600",2024-04-03
(활)전복,완도,8미,kg,12.6,"26,500","26,500","26,500",2024-04-03
(선)쭈꾸미,중국,35미,box,180,"20,000","19,200","19,400",2024-04-03
(선)참가자미,목포,대,S/P,65.4,"80,000","6,500","34,700",2024-04-03
(활)참숭어,여수,중,kg,255.4,"4,500","1,500","2,300",2024-04-03
(선)홍어,태안,중,kg,322.8,"8,500","4,000","6,300",2024-04-03
(활)감성돔,통영,중,kg,17,"26,000","17,000","23,100",2024-04-03
(선)갑오징어,부산(기장),대,S/P,10,"300,000","300,000","300,000",2024-04-03
(선)낙지,중국,7미,box,70,"24,500","20,200","21,700",2024-04-03
(선)낙지,중국,16미,box,261,"20,200","13,100","15,100",2024-04-03
(활)넙치,안흥,중,kg,128.3,"18,000","6,000","11,000",2024-04-03
(선)넙치,대천,중,kg,51.9,"5,500","1,000","3,500",2024-04-03
(활)농어,중국,중,kg,943.8,"17,000","4,000","11,600",2024-04-03
(선)바다가재,캐나다,중,kg,7.9,"16,500","11,000","14,400",2024-04-03
(선)백조기,제주도,21미,S/P,10,"26,000","26,000","26,000",2024-04-03
(선)삼치,강구,2미,kg,75.2,"11,000","11,000","11,000",2024-04-03
(활)수꽃게,태안,소,kg,55,"11,500","11,500","11,500",2024-04-03
(활)암꽃게,진도,대,kg,685,"37,500","33,500","34,600",2024-04-03
(선)오징어,제주도,20미,S/P,17,"136,000","115,000","130,700",2024-04-03
(활)우럭조개,여수,9미,미(마리),18,"5,500","5,500","5,500",2024-04-03
(활)우럭조개,여수,7미,미(마리),28,"8,200","8,200","8,200",2024-04-03
(활)우럭조개,여수,7미,box,21,"9,000","9,000","9,000",2024-04-03
(선)잡어,완도,중,kg,78.5,"16,000","4,000","5,500",2024-04-03
(활)전복,완도,24/25미,kg,23.6,"13,000","13,000","13,000",2024-04-03
(활)전복,완도,15/16미,kg,264.1,"18,500","16,000","17,500",2024-04-03
(선)참돔,완도,3미,kg,10,"7,000","7,000","7,000",2024-04-03
(선)깐굴,여수,소,box,16,"9,600","8,500","9,500",2024-04-03
(선)낙지,중국,22미,box,123,"16,600","16,600","16,600",2024-04-03
(활)넙치,제주도,중,kg,"1,645.6","19,000","2,000","13,200",2024-04-03
(활)넙치,완도,중,kg,298,"26,000","5,000","11,200",2024-04-03
(활)방어,일본,중,kg,87.2,"20,000","18,000","18,600",2024-04-03
(선)뱅어,삼천포,소,box,14,"50,200","50,000","50,000",2024-04-03
(선)병어,강구,9미,S/P,5,"28,000","28,000","28,000",2024-04-03
(활)부시리,제주도,중,kg,225.4,"20,500","15,000","17,400",2024-04-03
(선)삼치,제주도,15미,S/P,1,"120,250","120,250","120,300",2024-04-03
(활)소라,보령,중,그물망,4,"106,600","42,500","90,400",2024-04-03
(활)수꽃게,태안,중,kg,28,"15,000","14,000","14,400",2024-04-03
(선)우럭,남해,5미,S/P,4,"23,000","23,000","23,000",2024-04-03
(선)잡어,안흥,중,S/P,1,"13,000","13,000","13,000",2024-04-03
(선)잿방어,일본,중,kg,71,"9,000","6,000","7,100",2024-04-03
(활)전복,완도,25미,kg,149.4,"15,500","15,000","15,300",2024-04-03
(활)전복,완도,7/8미,kg,89.5,"30,000","26,500","27,300",2024-04-03
(활)전복,완도,15미,kg,97.1,"18,000","17,000","17,200",2024-04-03
(활)줄무늬전갱이,일본,중,kg,202,"31,000","8,500","23,700",2024-04-03
(활)해삼,삼천포,소,box,54,"28,000","20,200","21,500",2024-04-03
(선)황돔(뱅꼬),제주도,대,S/P,5,"100,000","100,000","100,000",2024-04-03
(선)금태,나로도,14미,S/P,1,"30,000","30,000","30,000",2024-04-03
(선)금태,나로도,4미,S/P,3,"120,000","120,000","120,000",2024-04-03
(선)금태,제주도,56미,S/P,1,"35,000","35,000","35,000",2024-04-03
(선)낙지,중국,24미,box,61,"15,000","13,600","13,800",2024-04-03
(선)낙지,중국,32미,box,2,"12,000","12,000","12,000",2024-04-03
(활)넙치,군산,중,kg,507.5,"15,000","4,000","9,000",2024-04-03
(선)넙치,나로도,3미,S/P,1,"24,000","24,000","24,000",2024-04-03
(선)백조기,제주도,32/33미,S/P,3,"57,000","57,000","57,000",2024-04-03
(선)붕장어,제주도,대,S/P,1,"70,000","70,000","70,000",2024-04-03
(선)삼치,제주도,3미,S/P,1,"105,000","105,000","105,000",2024-04-03
(선)수꽃게,태안,중,S/P,1,"50,000","50,000","50,000",2024-04-03
(선)연자돔,제주도,15미,S/P,4,"120,000","120,000","120,000",2024-04-03
(선)우럭,통영,중,kg,43.4,"18,000","5,000","15,000",2024-04-03
(선)쭈꾸미,중국,20미,box,218,"26,000","20,700","21,700",2024-04-03
(활)참돔,일본,1미,kg,2.8,"5,000","5,000","5,000",2024-04-03
(선)참조기,제주도,70미,S/P,1,"1,100,000","1,100,000","1,100,000",2024-04-03
(활)칡게,서산,소,그물망,5,"33,300","33,300","33,300",2024-04-03
(활)칡게,순천,소,그물망,3,"31,100","31,100","31,100",2024-04-03
(선)키조개,보령,6코,box,1,"26,600","26,600","26,600",2024-04-03
(선)키조개,군산,대,box,43,"46,600","23,500","37,400",2024-04-03
(활)가무락,인천,중,그물망,1,"65,000","65,000","65,000",2024-04-03
(선)가자미,제주도,대,S/P,91,"73,000","6,000","38,100",2024-04-03
(냉)가자미(H/G),러시아,150/200,CT/(BT),38,"15,700","15,700","15,700",2024-04-03
(선)감성돔,중국,중,kg,10,"5,500","5,000","5,200",2024-04-03
(선)깐멍게,통영,대,box,5,"36,600","36,300","36,500",2024-04-03
(활)넙치,대천,중,kg,311.2,"17,000","9,500","14,200",2024-04-03
(활)넙치,서산,중,kg,728.6,"16,000","3,000","8,600",2024-04-03
(선)대게,러시아,중,kg,202.7,"18,500","1,500","7,800",2024-04-03
(선)민어,제주도,대,S/P,5,"144,200","120,000","128,300",2024-04-03
